order_id,order_date,ship_date,category,product_name,sales,quantity,profit,country,city,state
CA-2013-169166,2013-05-10,2013-05-15,Accessories,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,93.98,2,13.16,United States,Seattle,Washington
CA-2013-126158,2013-07-26,2013-08-01,Binders,Clear Mylar Reinforcing Strips,119.62,8,40.37,United States,Costa Mesa,California
US-2013-105578,2013-05-31,2013-06-05,Binders,Vinyl Sectional Post Binders,22.62,2,-15.08,United States,Parker,Colorado
CA-2014-163405,2014-12-22,2014-12-26,Art,Newell 327,6.63,3,1.79,United States,Los Angeles,California
CA-2014-127432,2014-01-23,2014-01-28,Copiers,Canon Image Class D660 Copier,2999.95,5,1379.98,United States,Great Falls,Montana
US-2013-139486,2013-05-22,2013-05-24,Phones,Motorola HK250 Universal Bluetooth Headset,55.18,3,-12.41,United States,Los Angeles,California
CA-2012-102848,2012-11-07,2012-11-09,Chairs,Safco Contoured Stacking Chairs,190.72,1,11.92,United States,Los Angeles,California
US-2014-129441,2014-09-08,2014-09-12,Furnishings,Tenex Chairmats For Use With Carpeted Floors,47.94,3,2.4,United States,Los Angeles,California
CA-2013-126613,2013-07-11,2013-07-17,Storage,Sterilite Officeware Hinged File Box,16.77,2,1.47,United States,Mesa,Arizona
CA-2013-136924,2013-07-15,2013-07-18,Phones,LG Electronics Tone+ HBS-730 Bluetooth Headset,380.86,8,38.09,United States,Tucson,Arizona
CA-2013-136406,2013-04-16,2013-04-18,Chairs,HON 5400 Series Task Chairs for Big and Tall,1121.57,2,0.0,United States,San Francisco,California
CA-2014-100650,2014-06-30,2014-07-04,Storage,Tennsco 16-Compartment Lockers with Coat Rack,1295.78,2,310.99,United States,Anaheim,California
CA-2013-113243,2013-06-11,2013-06-16,Labels,Avery 473,20.7,2,9.94,United States,Los Angeles,California
CA-2014-118731,2014-11-21,2014-11-23,Furnishings,Coloredge Poster Frame,42.6,3,16.61,United States,San Francisco,California
CA-2012-130736,2012-12-07,2012-12-09,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",3.96,2,0.0,United States,Seattle,Washington
CA-2014-137099,2014-12-08,2014-12-11,Phones,Cisco SPA301,374.38,3,46.8,United States,Los Angeles,California
CA-2014-156951,2014-10-02,2014-10-09,Paper,Personal Creations Ink Jet Cards and Labels,91.84,8,45.0,United States,Seattle,Washington
CA-2013-127250,2013-11-04,2013-11-08,Art,Newell 332,8.82,3,2.38,United States,Marysville,Washington
CA-2012-149713,2012-09-18,2012-09-22,Paper,Personal Creations Ink Jet Cards and Labels,160.72,14,78.75,United States,Long Beach,California
CA-2012-132906,2012-09-10,2012-09-14,Supplies,Martin-Yale Premier Letter Opener,51.52,4,1.55,United States,Los Angeles,California
CA-2014-145233,2014-12-02,2014-12-06,Phones,GE 30524EE4,470.38,3,52.92,United States,Denver,Colorado
US-2013-156986,2013-03-21,2013-03-25,Phones,i.Sound Portable Power - 8000 mAh,84.78,2,-20.14,United States,Salem,Oregon
CA-2011-131450,2011-08-08,2011-08-15,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,76.12,2,22.07,United States,San Diego,California
CA-2014-153787,2014-05-20,2014-05-24,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,97.16,2,28.18,United States,Seattle,Washington
CA-2014-133431,2014-12-18,2014-12-22,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",15.24,5,5.14,United States,San Francisco,California
US-2013-135720,2013-12-12,2013-12-14,Storage,Tennsco Regal Shelving Units,243.38,3,-51.72,United States,Aurora,Colorado
US-2013-123470,2013-08-16,2013-08-22,Binders,Premium Transparent Presentation Covers by GBC,18.88,3,-13.85,United States,Aurora,Colorado
CA-2013-115917,2013-05-21,2013-05-26,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2,5,272.79,United States,Vallejo,California
CA-2014-167913,2014-07-31,2014-08-04,Storage,Economy Rollaway Files,330.4,2,85.9,United States,Mission Viejo,California
CA-2013-103947,2013-04-02,2013-04-09,Fasteners,Staples,31.56,5,9.86,United States,Sierra Vista,Arizona
CA-2013-160745,2013-12-12,2013-12-17,Furnishings,3M Hangers With Command Adhesive,14.8,4,6.07,United States,Vancouver,Washington
CA-2012-131534,2012-03-28,2012-04-02,Accessories,Imation Bio 8GB USBÂ Flash Drive ImationÂ Corp,166.24,1,24.94,United States,Los Angeles,California
CA-2013-163755,2013-11-05,2013-11-09,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",209.88,3,35.68,United States,Seattle,Washington
CA-2012-142027,2012-04-09,2012-04-14,Tables,Laminate Occasional Tables,369.91,3,-13.87,United States,Long Beach,California
CA-2011-153150,2011-07-01,2011-07-06,Binders,Cardinal Holdit Business Card Pockets,19.92,5,6.97,United States,Seattle,Washington
CA-2011-104472,2011-06-02,2011-06-07,Binders,GBC Standard Therm-A-Bind Covers,59.81,3,19.44,United States,Orem,Utah
CA-2013-112942,2013-02-13,2013-02-18,Paper,Tops Green Bar Computer Printout Paper,146.82,3,73.41,United States,Los Angeles,California
CA-2014-131954,2014-01-22,2014-01-26,Storage,Carina Double Wide Media Storage Towers in Natural & Black,242.94,3,9.72,United States,Seattle,Washington
CA-2011-132500,2011-09-08,2011-09-12,Accessories,Logitech Wireless Touch Keyboard K400,49.98,2,8.5,United States,San Francisco,California
CA-2011-124429,2011-05-27,2011-05-27,Tables,KI Conference Tables,567.12,10,-28.36,United States,San Diego,California
CA-2013-110499,2013-04-08,2013-04-10,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,1199.98,3,374.99,United States,San Francisco,California
CA-2012-135272,2012-12-07,2012-12-12,Furnishings,12-1/2 Diameter Round Wall Clock,79.92,4,28.77,United States,Los Angeles,California
CA-2012-112319,2012-08-31,2012-09-05,Paper,Xerox 226,58.32,9,27.99,United States,Los Angeles,California
CA-2012-144267,2012-08-21,2012-08-23,Chairs,Hon GuestStacker Chair,544.01,3,40.8,United States,San Francisco,California
CA-2014-129567,2014-03-18,2014-03-22,Binders,Heavy-Duty E-Z-D Binders,17.46,2,5.89,United States,Lancaster,California
CA-2012-154620,2012-12-12,2012-12-16,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",348.93,2,34.89,United States,Lancaster,California
CA-2011-156433,2011-09-20,2011-09-26,Labels,Avery 499,9.96,2,4.58,United States,San Francisco,California
CA-2012-101910,2012-11-27,2012-12-03,Chairs,"Situations Contoured Folding Chairs, 4/Set",283.92,5,17.74,United States,Lake Elsinore,California
CA-2014-105809,2014-02-21,2014-02-24,Furnishings,"Executive Impressions 14"" Contract Wall Clock",22.23,1,7.34,United States,San Diego,California
CA-2014-135783,2014-04-23,2014-04-25,Furnishings,"Eldon Stackable Tray, Side-Load, Legal, Smoke",18.28,2,6.22,United States,San Francisco,California
CA-2011-134313,2011-11-01,2011-11-07,Art,Model L Table or Wall-Mount Pencil Sharpener,43.18,3,4.32,United States,Denver,Colorado
CA-2011-151995,2011-10-13,2011-10-15,Art,Newell 32,11.52,4,3.23,United States,Edmonds,Washington
CA-2014-143686,2014-05-15,2014-05-15,Furnishings,"Eldon Stackable Tray, Side-Load, Legal, Smoke",18.28,2,6.22,United States,Santa Ana,California
US-2011-102071,2011-05-09,2011-05-15,Accessories,Kingston Digital DataTraveler 32GB USB 2.0,67.8,4,4.07,United States,San Francisco,California
CA-2013-161669,2013-11-08,2013-11-10,Binders,Fellowes Binding Cases,37.44,4,11.7,United States,Los Angeles,California
CA-2013-152534,2013-06-21,2013-06-26,Art,DIXON Oriole Pencils,5.16,2,1.34,United States,Salinas,California
CA-2011-133851,2011-06-09,2011-06-16,Supplies,Staples,7.36,2,0.15,United States,San Francisco,California
US-2014-123463,2014-12-24,2014-12-24,Art,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",13.48,4,5.93,United States,San Francisco,California
CA-2012-143602,2012-04-25,2012-04-28,Binders,Fellowes Black Plastic Comb Bindings,13.94,3,4.53,United States,Los Angeles,California
CA-2014-115364,2014-06-27,2014-07-03,Storage,Eldon Shelf Savers Cubes and Bins,83.76,12,1.68,United States,San Diego,California
CA-2011-104976,2011-12-09,2011-12-16,Paper,Xerox 1987,34.68,6,16.99,United States,San Francisco,California
CA-2013-105494,2013-11-11,2013-11-13,Storage,File Shuttle I and Handi-File,155.82,7,42.07,United States,San Francisco,California
CA-2013-130477,2013-04-09,2013-04-13,Paper,Xerox 1923,20.04,3,9.62,United States,Los Angeles,California
US-2014-111745,2014-11-06,2014-11-07,Accessories,NETGEAR AC1750 Dual Band GigabitÂ Smart WiFi Router,159.99,1,54.4,United States,Farmington,New Mexico
CA-2012-148250,2012-12-13,2012-12-17,Paper,Xerox 213,12.96,2,6.22,United States,Riverside,California
CA-2013-105760,2013-06-20,2013-06-21,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",17.12,2,8.05,United States,San Francisco,California
CA-2013-142958,2013-12-14,2013-12-21,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",6.1,2,2.21,United States,Torrance,California
CA-2012-120880,2012-05-29,2012-06-03,Paper,Xerox 1894,32.4,5,15.55,United States,Seattle,Washington
US-2012-140200,2012-07-26,2012-07-28,Tables,Bevis Boat-Shaped Conference Table,393.16,3,-204.45,United States,Mesa,Arizona
CA-2014-102414,2014-05-16,2014-05-19,Phones,"Logitech B530 USBÂ HeadsetÂ -Â headsetÂ - Full size, Binaural",29.59,1,2.59,United States,Phoenix,Arizona
CA-2012-112571,2012-09-22,2012-09-22,Furnishings,Luxo Professional Combination Clamp-On Lamps,204.6,2,53.2,United States,Oceanside,California
CA-2014-152142,2014-11-15,2014-11-20,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.57,2,28.14,United States,San Francisco,California
CA-2013-120859,2013-09-02,2013-09-05,Envelopes,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",21.88,2,10.94,United States,San Francisco,California
US-2014-100209,2014-07-10,2014-07-16,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,2,-0.79,United States,Portland,Oregon
CA-2011-163419,2011-11-11,2011-11-14,Art,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",3.39,1,0.81,United States,Louisville,Colorado
CA-2013-105585,2013-08-27,2013-08-28,Fasteners,Advantus SlideClip Paper Clips,10.23,3,4.91,United States,San Jose,California
CA-2013-155488,2013-11-14,2013-11-18,Art,Boston 16801 Nautilus Battery Pencil Sharpener,44.02,2,11.45,United States,Vancouver,Washington
CA-2012-126445,2012-08-27,2012-08-31,Storage,Fellowes Super Stor/Drawer Files,484.65,3,92.08,United States,Murrieta,California
CA-2012-105312,2012-11-06,2012-11-09,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",7.08,3,2.48,United States,Scottsdale,Arizona
CA-2011-158540,2011-11-24,2011-11-26,Furnishings,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",151.72,4,27.31,United States,San Diego,California
CA-2014-118437,2014-06-18,2014-06-22,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",155.25,3,46.58,United States,Olympia,Washington
US-2012-126214,2012-12-21,2012-12-24,Tables,Bevis 36 x 72 Conference Tables,1618.37,13,356.04,United States,Seattle,Washington
CA-2012-133025,2012-09-17,2012-09-19,Paper,Xerox 216,32.4,5,15.55,United States,Los Angeles,California
CA-2014-106964,2014-12-18,2014-12-21,Binders,GBC Plastic Binding Combs,11.81,2,4.28,United States,Los Angeles,California
CA-2012-127418,2012-06-13,2012-06-14,Binders,Aluminum Screw Posts,36.62,3,13.73,United States,Los Angeles,California
CA-2011-139192,2011-05-27,2011-06-01,Phones,Plantronics HL10 Handset Lifter,1113.5,12,125.27,United States,San Francisco,California
CA-2014-167150,2014-12-11,2014-12-18,Binders,Avery Hole Reinforcements,19.94,4,7.23,United States,San Diego,California
CA-2013-157686,2013-10-02,2013-10-03,Chairs,"Global Value Mid-Back Manager's Chair, Gray",194.85,4,12.18,United States,San Francisco,California
CA-2012-144652,2012-11-20,2012-11-26,Art,Newell 333,19.46,7,5.06,United States,Los Angeles,California
CA-2013-152814,2013-04-29,2013-05-03,Paper,Xerox 1881,29.47,3,9.95,United States,Denver,Colorado
CA-2013-134348,2013-11-13,2013-11-20,Binders,Avery Durable Slant Ring Binders With Label Holder,6.27,5,-4.6,United States,Mesa,Arizona
CA-2014-132521,2014-09-24,2014-09-26,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,119.96,2,33.59,United States,Seattle,Washington
CA-2013-166163,2013-08-16,2013-08-21,Phones,Nokia Lumia 521 (T-Mobile),71.98,3,7.2,United States,Oakland,California
CA-2012-143490,2012-12-06,2012-12-13,Art,Stanley Contemporary Battery Pencil Sharpeners,120.15,9,33.64,United States,San Diego,California
CA-2011-159338,2011-06-25,2011-06-28,Tables,Hon 4060 Series Tables,447.84,5,11.2,United States,Los Angeles,California
CA-2013-107216,2013-06-15,2013-06-18,Art,Newell 326,7.04,4,2.04,United States,San Francisco,California
CA-2013-112340,2013-10-22,2013-10-28,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",22.92,3,11.23,United States,Riverside,California
CA-2014-140585,2014-12-19,2014-12-24,Binders,Binding Machine Supplies,46.67,2,16.34,United States,Encinitas,California
CA-2013-144855,2013-07-23,2013-07-25,Labels,Self-Adhesive Removable Labels,6.3,2,3.02,United States,San Francisco,California
US-2013-114776,2013-12-07,2013-12-08,Paper,Xerox 216,19.44,3,9.33,United States,Antioch,California
CA-2011-146969,2011-09-29,2011-10-03,Furnishings,Luxo Professional Combination Clamp-On Lamps,204.6,2,53.2,United States,Los Angeles,California
CA-2014-160395,2014-01-01,2014-01-07,Art,"Crayola Anti Dust Chalk, 12/Pack",3.64,2,1.64,United States,Reno,Nevada
CA-2013-149314,2013-07-03,2013-07-08,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,195.18,1,19.52,United States,Los Angeles,California
CA-2011-126522,2011-09-01,2011-09-05,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",53.94,3,15.64,United States,Escondido,California
CA-2012-125416,2012-11-02,2012-11-02,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,447.93,9,49.27,United States,Seattle,Washington
CA-2011-158064,2011-04-21,2011-04-25,Binders,ACCOHIDE Binder by Acco,16.52,5,5.58,United States,Los Angeles,California
CA-2011-120243,2011-12-27,2011-12-30,Labels,Staples,11.56,4,5.43,United States,Los Angeles,California
CA-2011-127131,2011-11-24,2011-11-30,Binders,Peel & Stick Add-On Corner Pockets,12.1,7,4.23,United States,Seattle,Washington
CA-2014-117212,2014-02-27,2014-03-01,Appliances,Kensington 6 Outlet Guardian Standard Surge Protector,81.92,4,22.12,United States,Los Angeles,California
CA-2013-114727,2013-07-19,2013-07-25,Chairs,Hon GuestStacker Chair,544.01,3,40.8,United States,Denver,Colorado
CA-2011-110184,2011-07-12,2011-07-16,Storage,Fellowes Super Stor/Drawer,249.75,9,44.96,United States,Los Angeles,California
CA-2014-100013,2014-11-07,2014-11-12,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",15.28,2,7.49,United States,Los Angeles,California
CA-2011-127012,2011-08-11,2011-08-15,Furnishings,"Eldon Image Series Desk Accessories, Ebony",12.35,1,5.43,United States,Seattle,Washington
CA-2011-168494,2011-12-12,2011-12-14,Tables,Hon Non-Folding Utility Tables,764.69,6,95.59,United States,Fresno,California
CA-2014-110380,2014-09-03,2014-09-08,Art,Pencil and Crayon Sharpener,6.57,3,1.77,United States,San Francisco,California
US-2011-167738,2011-12-24,2011-12-29,Storage,Letter Size Cart,142.86,1,41.43,United States,Los Angeles,California
CA-2014-121412,2014-09-24,2014-09-28,Furnishings,Aluminum Document Frame,29.33,3,3.67,United States,Louisville,Colorado
CA-2013-163384,2013-11-11,2013-11-13,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1""",13.22,4,4.46,United States,San Francisco,California
CA-2012-101707,2012-08-27,2012-09-01,Supplies,Fiskars Softgrip Scissors,32.94,3,9.22,United States,San Diego,California
CA-2012-138898,2012-05-25,2012-05-29,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,845.73,13,84.57,United States,Pueblo,Colorado
CA-2014-115427,2014-12-31,2015-01-04,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",13.9,2,4.52,United States,Fairfield,California
CA-2012-121391,2012-10-04,2012-10-07,Storage,"Tenex Personal Project File with Scoop Front Design, Black",26.96,2,7.01,United States,San Francisco,California
CA-2013-141397,2013-06-21,2013-06-22,Paper,Xerox 1898,46.76,7,22.44,United States,Pasadena,California
CA-2013-145919,2013-12-19,2013-12-24,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",38.88,6,18.66,United States,Los Angeles,California
CA-2014-106033,2014-10-16,2014-10-19,Art,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,87.92,4,26.38,United States,San Francisco,California
CA-2013-142762,2013-05-24,2013-05-28,Furnishings,"Eldon Image Series Desk Accessories, Ebony",37.05,3,16.3,United States,San Francisco,California
CA-2011-121664,2011-05-06,2011-05-10,Binders,Wilson Jones Legal Size Ring Binders,140.74,8,52.78,United States,Los Angeles,California
US-2014-123281,2014-04-03,2014-04-08,Furnishings,Westinghouse Clip-On Gooseneck Lamps,25.11,3,6.53,United States,Los Angeles,California
CA-2014-162978,2014-05-05,2014-05-10,Phones,Motorola L804,183.96,5,20.7,United States,San Francisco,California
US-2011-151925,2011-09-26,2011-10-01,Chairs,"Leather Task Chair, Black",145.57,2,0.0,United States,Los Angeles,California
US-2014-155425,2014-11-11,2014-11-12,Binders,Cardinal EasyOpen D-Ring Binders,38.39,14,-25.59,United States,Tucson,Arizona
